"","year","group","product_id","product","group_id","import_val","export_val","trade_exchange_val","world_trade_val","rca","color","image"
"32",2014,"Animal Hides","084110","Leather Waste","08",49208.71,NA,49208.71,145125345.25,NA,"#98df8a","d3plus/icons/hs/hs_08.png"
"33",2014,"Animal Hides","084111","Leather Sheets","08",360029.75,NA,360029.75,205273688.99,NA,"#98df8a","d3plus/icons/hs/hs_08.png"
"34",2014,"Animal Hides","084201","Saddlery","08",2270976.03,14934.55,2285910.58,1442472181.84,"0","#98df8a","d3plus/icons/hs/hs_08.png"
"35",2014,"Animal Hides","084202","Trunks and Cases","08",223437193.64,20193409.8,243630603.44,54228646577.4,"0.08","#98df8a","d3plus/icons/hs/hs_08.png"
"36",2014,"Animal Hides","084203","Leather Apparel","08",46769094.89,657387.74,47426482.63,8979093176.35,"0.02","#98df8a","d3plus/icons/hs/hs_08.png"
"38",2014,"Animal Hides","084205","Other Leather Articles","08",3450758.65,42000.07,3492758.72,2807863815.77,"0","#98df8a","d3plus/icons/hs/hs_08.png"
"39",2014,"Animal Hides","084206","Articles of Gut","08",7501,105217,112718,42242354.52,"0.57","#98df8a","d3plus/icons/hs/hs_08.png"
"40",2014,"Animal Hides","084301","Raw Furskins","08",NA,94947.07,94947.07,5141295409.76,"0","#98df8a","d3plus/icons/hs/hs_08.png"
"41",2014,"Animal Hides","084302","Tanned Furskins","08",248053.59,93726,341779.59,2440150940.62,"0.01","#98df8a","d3plus/icons/hs/hs_08.png"
"42",2014,"Animal Hides","084303","Furskin Apparel","08",856964.21,NA,856964.21,2186818396.34,NA,"#98df8a","d3plus/icons/hs/hs_08.png"
"43",2014,"Animal Hides","084304","Artificial Fur","08",121488.31,NA,121488.31,56082703.31,NA,"#98df8a","d3plus/icons/hs/hs_08.png"
"44",2014,"Animal Products","010101","Horses","01",5304002.33,6450938.81,11754941.14,2474250181.86,"0.59","#e8d58e","d3plus/icons/hs/hs_01.png"
"45",2014,"Animal Products","010102","Bovine","01",39814,1719134.2,1758948.2,9775868145.11,"0.04","#e8d58e","d3plus/icons/hs/hs_01.png"
