"","year","origin_id","destination_id","hs92_product_name","hs92_group_name","hs92_product_id","hs92_group_id","hs92_color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","hs92_icon","top_importer","top_exporter"
"1",2012,NA,NA,"Horses","Animal Products","0101","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"2",2012,NA,NA,"Bovine","Animal Products","0102","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"3",2012,NA,NA,"Pigs","Animal Products","0103","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"4",2012,NA,NA,"Sheep and Goats","Animal Products","0104","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"5",2012,NA,NA,"Poultry","Animal Products","0105","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"6",2012,"sachl","aschn","Other Animals","Animal Products","0106","01","#e8d58e",131808.73,NA,131808.73,1649542.34,1114707414.56,-1.53,0.022,1134,"d3plus-1.9.8/icons/hs92/hs92_01.png","United States","Netherlands"
"7",2012,NA,NA,"Bovine Meat","Animal Products","0201","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"8",2012,NA,NA,"Frozen Bovine Meat","Animal Products","0202","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"9",2012,"sachl","aschn","Pig Meat","Animal Products","0203","01","#e8d58e",12993765.83,NA,12993765.83,472173231.3,30376162876.8,0.886,0.079,254,"d3plus-1.9.8/icons/hs92/hs92_01.png","Japan","United States"
"10",2012,NA,NA,"Sheep and Goat Meat","Animal Products","0204","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"11",2012,NA,NA,"Horse Meat","Animal Products","0205","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"12",2012,"sachl","aschn","Edible Offal","Animal Products","0206","01","#e8d58e",14537963.94,NA,14537963.94,42545930.33,6721870950.39,-0.458,0.402,836,"d3plus-1.9.8/icons/hs92/hs92_01.png","China","United States"
"13",2012,"sachl","aschn","Poultry Meat","Animal Products","0207","01","#e8d58e",35012882.79,NA,35012882.79,271677990.61,25952629869.6,0.302,0.251,519,"d3plus-1.9.8/icons/hs92/hs92_01.png","Saudi Arabia","Brazil"
"14",2012,NA,NA,"Other Meat","Animal Products","0208","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"15",2012,"sachl","aschn","Animal Fat","Animal Products","0209","01","#e8d58e",975746.53,NA,975746.53,23666628.68,1049890536.12,0.815,0.173,291,"d3plus-1.9.8/icons/hs92/hs92_01.png","Russia","Germany"
"16",2012,NA,NA,"Preserved Meat","Animal Products","0210","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"17",2012,"sachl","aschn","Live Fish","Animal Products","0301","01","#e8d58e",NA,1425,1425,38060.8,1782128345.89,-1.043,NA,1013,"d3plus-1.9.8/icons/hs92/hs92_01.png","Hong Kong","China"
"18",2012,"sachl","aschn","Non-fillet Fresh Fish","Animal Products","0302","01","#e8d58e",161686.98,NA,161686.98,301792887.52,13053081789,-1.133,0.002,1040,"d3plus-1.9.8/icons/hs92/hs92_01.png","United States","Norway"
"19",2012,"sachl","aschn","Non-fillet Frozen Fish","Animal Products","0303","01","#e8d58e",69219675.27,315902.89,69535578.16,1369183353.31,23910184538.8,-1.406,0.538,1109,"d3plus-1.9.8/icons/hs92/hs92_01.png","Japan","United States"
"20",2012,"sachl","aschn","Fish Fillets","Animal Products","0304","01","#e8d58e",869357.31,3278163,4147520.31,1733115158.62,20871415924.6,-0.968,0.008,997,"d3plus-1.9.8/icons/hs92/hs92_01.png","United States","China"
"21",2012,"sachl","aschn","Processed Fish","Animal Products","0305","01","#e8d58e",466932.11,67005.06,533937.17,118650225.1,5636363453.57,-1.625,0.015,1150,"d3plus-1.9.8/icons/hs92/hs92_01.png","Germany","Norway"
"22",2012,"sachl","aschn","Crustaceans","Animal Products","0306","01","#e8d58e",12522596.29,1046172.23,13568768.52,63654590.83,20453695657.4,-1.701,0.114,1159,"d3plus-1.9.8/icons/hs92/hs92_01.png","United States","Canada"
"23",2012,"sachl","aschn","Molluscs","Animal Products","0307","01","#e8d58e",7324120.54,1486918.09,8811038.63,205202151.74,10694053703.6,-1.838,0.127,1170,"d3plus-1.9.8/icons/hs92/hs92_01.png","Japan","China"
"24",2012,"sachl","aschn","Milk","Animal Products","0401","01","#e8d58e",252561.54,NA,252561.54,2864583.44,8852027498.25,-0.188,0.005,735,"d3plus-1.9.8/icons/hs92/hs92_01.png","Italy","Germany"
"25",2012,"sachl","aschn","Concentrated Milk","Animal Products","0402","01","#e8d58e",4027551.13,2985.1,4030536.23,127010993.69,21140335419,-1.061,0.035,1018,"d3plus-1.9.8/icons/hs92/hs92_01.png","China","New Zealand"
