"","year","origin_id","destination_id","product","group","hs92_id","hs92_group","color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","top_exporter","top_importer","icon"
"1",2014,NA,NA,"Horses","Animal Products","010101","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"2",2014,NA,NA,"Bovine","Animal Products","010102","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"3",2014,NA,NA,"Pigs","Animal Products","010103","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"4",2014,NA,NA,"Sheep and Goats","Animal Products","010104","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"5",2014,NA,NA,"Poultry","Animal Products","010105","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"6",2014,"sachl","aschn","Other Animals","Animal Products","010106","01","#e8d58e",529633.37,NA,529633.37,2262677.4,1287846541.04,-1.508,0.08,1111,"eunld","asqat","d3plus-1.9.8/icons/hs92/hs92_01.png"
"7",2014,NA,NA,"Bovine Meat","Animal Products","010201","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"8",2014,NA,NA,"Frozen Bovine Meat","Animal Products","010202","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"9",2014,"sachl","aschn","Pig Meat","Animal Products","010203","01","#e8d58e",35156110.46,NA,35156110.46,454016901.13,30850326320.1,0.653,0.23,361,"eudeu","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"10",2014,"sachl","aschn","Sheep and Goat Meat","Animal Products","010204","01","#e8d58e",74023,NA,74023,39765126.08,7164019394.5,-1.267,0,1067,"ocnzl","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"11",2014,NA,NA,"Horse Meat","Animal Products","010205","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"12",2014,"sachl","aschn","Edible Offal","Animal Products","010206","01","#e8d58e",28384497.01,NA,28384497.01,51105381.16,7855610899.18,-0.188,0.73,741,"nausa","ashkg","d3plus-1.9.8/icons/hs92/hs92_01.png"
"13",2014,"sachl","aschn","Poultry Meat","Animal Products","010207","01","#e8d58e",29274557.79,NA,29274557.79,287258788.12,27965248909,0.2,0.21,557,"sabra","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png"
"14",2014,NA,NA,"Other Meat","Animal Products","010208","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"15",2014,"sachl","aschn","Animal Fat","Animal Products","010209","01","#e8d58e",398204.79,NA,398204.79,27078399.16,725204911.15,0.453,0.11,444,"eudeu","namex","d3plus-1.9.8/icons/hs92/hs92_01.png"
"16",2014,NA,NA,"Preserved Meat","Animal Products","010210","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"17",2014,NA,NA,"Live Fish","Animal Products","010301","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"18",2014,"sachl","aschn","Non-fillet Fresh Fish","Animal Products","010302","01","#e8d58e",20854521.15,207091.66,21061612.81,567642209.26,16005362933.2,-1.247,0.26,1062,"eunor","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"19",2014,"sachl","aschn","Non-fillet Frozen Fish","Animal Products","010303","01","#e8d58e",112286489.81,195878.31,112482368.12,1715877721.33,23654397657.4,-1.63,0.96,1138,"nausa","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"20",2014,"sachl","aschn","Fish Fillets","Animal Products","010304","01","#e8d58e",4572260.15,7462068.35,12034328.5,2530334991.89,23081684731.3,-1.102,0.04,1031,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"21",2014,"sachl","aschn","Processed Fish","Animal Products","010305","01","#e8d58e",66664,1888,68552,90797363.12,6196866062.55,-1.451,0,1104,"eunor","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png"
"22",2014,"sachl","aschn","Crustaceans","Animal Products","010306","01","#e8d58e",14206266.74,5337795.12,19544061.86,74957532.13,27018340591.9,-1.943,0.11,1179,"asind","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"23",2014,"sachl","aschn","Molluscs","Animal Products","010307","01","#e8d58e",8111979.39,2083704.16,10195683.55,241498475.38,11664445269.3,-1.42,0.14,1094,"aschn","euesp","d3plus-1.9.8/icons/hs92/hs92_01.png"
"24",2014,"sachl","aschn","Milk","Animal Products","010401","01","#e8d58e",1048114.78,NA,1048114.78,5704416.34,9530167576.83,-0.055,0.02,674,"eudeu","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png"
"25",2014,"sachl","aschn","Concentrated Milk","Animal Products","010402","01","#e8d58e",25024353.34,14491.79,25038845.13,155035478.86,27705100435.6,-0.788,0.18,937,"ocnzl","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"26",2014,NA,NA,"Fermented Milk Products","Animal Products","010403","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"27",2014,"sachl","aschn","Whey","Animal Products","010404","01","#e8d58e",1199781.13,NA,1199781.13,17195639.51,6144948322.6,0.563,0.04,402,"nausa","eunld","d3plus-1.9.8/icons/hs92/hs92_01.png"
"28",2014,NA,NA,"Butter","Animal Products","010405","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"29",2014,NA,NA,"Cheese","Animal Products","010406","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"30",2014,NA,NA,"Eggs","Animal Products","010407","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"31",2014,NA,NA,"Processed Egg Products","Animal Products","010408","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"32",2014,"sachl","aschn","Honey","Animal Products","010409","01","#e8d58e",296150.5,NA,296150.5,31288529.41,2279448511.62,-0.989,0.03,991,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"33",2014,"sachl","aschn","Other Edible Animal Products","Animal Products","010410","01","#e8d58e",NA,5052.34,5052.34,NA,374947024.45,-0.715,NA,915,"asidn","assgp","d3plus-1.9.8/icons/hs92/hs92_01.png"
